mu_r,CV_r,s,alpha,phi,strategy
475.390625,0.414952,1.1216,0.793836,0.046908,2
112.890625,0.137174,1.4216,1.07955,0.002767,2
312.890625,0.303841,1.7216,1.365264,0.007222,2
212.890625,0.470508,0.5816,1.650979,0.011676,3
412.890625,0.044582,0.8816,1.936693,0.016131,3
162.890625,0.211248,1.1816,0.263224,0.020585,3
362.890625,0.377915,1.4816,0.548938,0.02504,0
262.890625,0.100137,1.7816,0.834652,0.029494,0
462.890625,0.266804,0.6416,1.120367,0.033949,0
137.890625,0.433471,0.9416,1.406081,0.038403,0
337.890625,0.155693,1.2416,1.691795,0.042858,1
237.890625,0.322359,1.5416,1.977509,0.047313,1
437.890625,0.489026,1.8416,0.024157,0.003172,1
187.890625,0.013717,0.7016,0.309871,0.007627,2
387.890625,0.180384,1.0016,0.595585,0.012081,2
287.890625,0.347051,1.3016,0.881299,0.016536,2
487.890625,0.069273,1.6016,1.167014,0.02099,3
106.640625,0.23594,1.9016,1.452728,0.025445,3
306.640625,0.402606,0.7616,1.738442,0.029899,3
206.640625,0.124829,1.0616,0.064973,0.034354,0
406.640625,0.291495,1.3616,0.350687,0.038808,0
156.640625,0.458162,1.6616,0.636401,0.043263,0
356.640625,0.032236,1.9616,0.922116,0.047718,0
256.640625,0.198903,0.5336,1.20783,0.003577,1
456.640625,0.365569,0.8336,1.493544,0.008032,1
131.640625,0.087791,1.1336,1.779259,0.012486,1
331.640625,0.254458,1.4336,0.105789,0.016941,2
231.640625,0.421125,1.7336,0.391504,0.021395,2
431.640625,0.143347,0.5936,0.677218,0.02585,2
181.640625,0.310014,0.8936,0.962932,0.030304,3
381.640625,0.47668,1.1936,1.248646,0.034759,3
281.640625,0.050754,1.4936,1.534361,0.039213,3
481.640625,0.217421,1.7936,1.820075,0.043668,0
119.140625,0.384088,0.6536,0.146606,0.048122,0
319.140625,0.10631,0.9536,0.43232,0.003982,0
219.140625,0.272977,1.2536,0.718034,0.008437,1
419.140625,0.439643,1.5536,1.003748,0.012891,1
169.140625,0.161866,1.8536,1.289463,0.017346,1
369.140625,0.328532,0.7136,1.575177,0.0218,1
269.140625,0.495199,1.0136,1.860891,0.026255,2
469.140625,0.003429,1.3136,0.187422,0.030709,2
144.140625,0.170096,1.6136,0.473136,0.035164,2
344.140625,0.336763,1.9136,0.75885,0.039618,3
244.140625,0.058985,0.7736,1.044565,0.044073,3
444.140625,0.225652,1.0736,1.330279,0.048527,3
194.140625,0.392318,1.3736,1.615993,0.004387,0
394.140625,0.11454,1.6736,1.901708,0.008841,0
294.140625,0.281207,1.9736,0.228238,0.013296,0
494.140625,0.447874,0.5456,0.513953,0.017751,1
103.515625,0.021948,0.8456,0.799667,0.022205,1
303.515625,0.188615,1.1456,1.085381,0.02666,1
203.515625,0.355281,1.4456,1.371095,0.031114,1
403.515625,0.077503,1.7456,1.65681,0.035569,2
153.515625,0.24417,0.6056,1.942524,0.040023,2
353.515625,0.410837,0.9056,0.269055,0.044478,2
253.515625,0.133059,1.2056,0.554769,0.048932,3
453.515625,0.299726,1.5056,0.840483,0.004792,3
128.515625,0.466392,1.8056,1.126197,0.009246,3
328.515625,0.040466,0.6656,1.411912,0.013701,0
228.515625,0.207133,0.9656,1.697626,0.018156,0
428.515625,0.3738,1.2656,1.98334,0.02261,0
178.515625,0.096022,1.5656,0.029988,0.027065,1
378.515625,0.262689,1.8656,0.315702,0.031519,1
278.515625,0.429355,0.7256,0.601416,0.035974,1
478.515625,0.151578,1.0256,0.88713,0.040428,1
116.015625,0.318244,1.3256,1.172845,0.044883,2
316.015625,0.484911,1.6256,1.458559,0.049337,2
216.015625,0.009602,1.9256,1.744273,0.005197,2
416.015625,0.176269,0.7856,0.070804,0.009651,3
166.015625,0.342936,1.0856,0.356518,0.014106,3
366.015625,0.065158,1.3856,0.642232,0.01856,3
266.015625,0.231824,1.6856,0.927947,0.023015,0
466.015625,0.398491,1.9856,1.213661,0.02747,0
141.015625,0.120713,0.5576,1.499375,0.031924,0
341.015625,0.28738,0.8576,1.78509,0.036379,1
241.015625,0.454047,1.1576,0.11162,0.040833,1
441.015625,0.028121,1.4576,0.397334,0.045288,1
191.015625,0.194787,1.7576,0.683049,0.049742,2
391.015625,0.361454,0.6176,0.968763,0.001184,2
291.015625,0.083676,0.9176,1.254477,0.005639,2
491.015625,0.250343,1.2176,1.540192,0.010093,2
109.765625,0.41701,1.5176,1.825906,0.014548,3
309.765625,0.139232,1.8176,0.152436,0.019002,3
209.765625,0.305898,0.6776,0.438151,0.023457,3
409.765625,0.472565,0.9776,0.723865,0.027911,0
159.765625,0.046639,1.2776,1.009579,0.032366,0
359.765625,0.213306,1.5776,1.295294,0.03682,0
259.765625,0.379973,1.8776,1.581008,0.041275,1
459.765625,0.102195,0.7376,1.866722,0.04573,1
134.765625,0.268861,1.0376,0.193253,0.001589,1
334.765625,0.435528,1.3376,0.478967,0.006044,2
234.765625,0.15775,1.6376,0.764681,0.010498,2
434.765625,0.324417,1.9376,1.050396,0.014953,2
184.765625,0.491084,0.7976,1.33611,0.019407,2
384.765625,0.015775,1.0976,1.621824,0.023862,3
284.765625,0.182442,1.3976,1.907539,0.028316,3
484.765625,0.349108,1.6976,0.234069,0.032771,3
122.265625,0.071331,1.9976,0.519783,0.037225,0
322.265625,0.237997,0.50048,0.805498,0.04168,0
222.265625,0.404664,0.80048,1.091212,0.046134,0
422.265625,0.126886,1.10048,1.376926,0.001994,1
172.265625,0.293553,1.40048,1.662641,0.006449,1
372.265625,0.460219,1.70048,1.948355,0.010903,1
272.265625,0.034294,0.56048,0.274885,0.015358,2
472.265625,0.20096,0.86048,0.5606,0.019812,2
147.265625,0.367627,1.16048,0.846314,0.024267,2
347.265625,0.089849,1.46048,1.132028,0.028721,2
247.265625,0.256516,1.76048,1.417743,0.033176,3
447.265625,0.423182,0.62048,1.703457,0.03763,3
197.265625,0.145405,0.92048,1.989171,0.042085,3
397.265625,0.312071,1.22048,0.035818,0.046539,0
297.265625,0.478738,1.52048,0.321533,0.002399,0
497.265625,0.052812,1.82048,0.607247,0.006853,0
101.953125,0.219479,0.68048,0.892961,0.011308,1
301.953125,0.386145,0.98048,1.178676,0.015763,1
201.953125,0.108368,1.28048,1.46439,0.020217,1
401.953125,0.275034,1.58048,1.750104,0.024672,2
151.953125,0.441701,1.88048,0.076635,0.029126,2
351.953125,0.163923,0.74048,0.362349,0.033581,2
251.953125,0.33059,1.04048,0.648063,0.038035,3
451.953125,0.497257,1.34048,0.933778,0.04249,3
126.953125,0.005487,1.64048,1.219492,0.046944,3
326.953125,0.172154,1.94048,1.505206,0.002804,3
226.953125,0.33882,0.51248,1.79092,0.007258,0
426.953125,0.061043,0.81248,0.117451,0.011713,0
176.953125,0.227709,1.11248,0.403165,0.016168,0
376.953125,0.394376,1.41248,0.68888,0.020622,1
276.953125,0.116598,1.71248,0.974594,0.025077,1
476.953125,0.283265,0.57248,1.260308,0.029531,1
114.453125,0.449931,0.87248,1.546022,0.033986,2
314.453125,0.024005,1.17248,1.831737,0.03844,2
214.453125,0.190672,1.47248,0.158267,0.042895,2
414.453125,0.357339,1.77248,0.443982,0.047349,3
164.453125,0.079561,0.63248,0.729696,0.003209,3
364.453125,0.246228,0.93248,1.01541,0.007663,3
264.453125,0.412894,1.23248,1.301125,0.012118,3
464.453125,0.135117,1.53248,1.586839,0.016573,0
139.453125,0.301783,1.83248,1.872553,0.021027,0
339.453125,0.46845,0.69248,0.199084,0.025482,0
239.453125,0.042524,0.99248,0.484798,0.029936,1
439.453125,0.209191,1.29248,0.770512,0.034391,1
189.453125,0.375857,1.59248,1.056227,0.038845,1
389.453125,0.09808,1.89248,1.341941,0.0433,2
289.453125,0.264746,0.75248,1.627655,0.047754,2
489.453125,0.431413,1.05248,1.913369,0.003614,2
108.203125,0.153635,1.35248,0.2399,0.008068,3
308.203125,0.320302,1.65248,0.525614,0.012523,3
208.203125,0.486968,1.95248,0.811329,0.016977,3
408.203125,0.01166,0.52448,1.097043,0.021432,3
158.203125,0.178326,0.82448,1.382757,0.025887,0
358.203125,0.344993,1.12448,1.668471,0.030341,0
258.203125,0.067215,1.42448,1.954186,0.034796,0
458.203125,0.233882,1.72448,0.280716,0.03925,0
133.203125,0.400549,0.58448,0.566431,0.043705,1
333.203125,0.122771,0.88448,0.852145,0.048159,1
233.203125,0.289438,1.18448,1.137859,0.004019,1
433.203125,0.456104,1.48448,1.423574,0.008473,2
183.203125,0.030178,1.78448,1.709288,0.012928,2
383.203125,0.196845,0.64448,1.995002,0.017382,2
283.203125,0.363512,0.94448,0.001666,0.021837,3
483.203125,0.085734,1.24448,0.28738,0.026292,3
120.703125,0.252401,1.54448,0.573095,0.030746,3
320.703125,0.419067,1.84448,0.858809,0.035201,0
220.703125,0.141289,0.70448,1.144523,0.039655,0
420.703125,0.307956,1.00448,1.430237,0.04411,0
170.703125,0.474623,1.30448,1.715952,0.048564,0
370.703125,0.048697,1.60448,0.042482,0.004424,1
270.703125,0.215364,1.90448,0.328197,0.008878,1
470.703125,0.38203,0.76448,0.613911,0.013333,1
145.703125,0.104252,1.06448,0.899625,0.017787,2
345.703125,0.270919,1.36448,1.185339,0.022242,2
245.703125,0.437586,1.66448,1.471054,0.026696,2
445.703125,0.159808,1.96448,1.756768,0.031151,3
195.703125,0.326475,0.53648,0.083299,0.035606,3
395.703125,0.493141,0.83648,0.369013,0.04006,3
295.703125,0.017833,1.13648,0.654727,0.044515,0
495.703125,0.184499,1.43648,0.940441,0.048969,0
105.078125,0.351166,1.73648,1.226156,0.004829,0
305.078125,0.073388,0.59648,1.51187,0.009283,0
205.078125,0.240055,0.89648,1.797584,0.013738,1
405.078125,0.406722,1.19648,0.124115,0.018192,1
155.078125,0.128944,1.49648,0.409829,0.022647,1
355.078125,0.29561,1.79648,0.695544,0.027101,2
255.078125,0.462277,0.65648,0.981258,0.031556,2
455.078125,0.036351,0.95648,1.266972,0.036011,2
130.078125,0.203018,1.25648,1.552686,0.040465,3
330.078125,0.369684,1.55648,1.838401,0.04492,3
230.078125,0.091907,1.85648,0.164931,0.049374,3
430.078125,0.258573,0.71648,0.450646,0.005234,0
180.078125,0.42524,1.01648,0.73636,0.009688,0
380.078125,0.147462,1.31648,1.022074,0.014143,0
280.078125,0.314129,1.61648,1.307788,0.018597,1
480.078125,0.480796,1.91648,1.593503,0.023052,1
117.578125,0.05487,0.77648,1.879217,0.027506,1
317.578125,0.221536,1.07648,0.205748,0.031961,1
217.578125,0.388203,1.37648,0.491462,0.036415,2
417.578125,0.110425,1.67648,0.777176,0.04087,2
167.578125,0.277092,1.97648,1.06289,0.045325,2
367.578125,0.443759,0.54848,1.348605,0.049779,3
267.578125,0.165981,0.84848,1.634319,0.001221,3
467.578125,0.332647,1.14848,1.920033,0.005675,3
142.578125,0.499314,1.44848,0.246564,0.01013,0
342.578125,0.000229,1.74848,0.532278,0.014585,0
242.578125,0.166895,0.60848,0.817993,0.019039,0
442.578125,0.333562,0.90848,1.103707,0.023494,1
192.578125,0.055784,1.20848,1.389421,0.027948,1
392.578125,0.222451,1.50848,1.675135,0.032403,1
292.578125,0.389118,1.80848,1.96085,0.036857,1
492.578125,0.11134,0.66848,0.007497,0.041312,2
111.328125,0.278006,0.96848,0.293211,0.045766,2
311.328125,0.444673,1.26848,0.578925,0.001626,2
211.328125,0.018747,1.56848,0.86464,0.00608,3
411.328125,0.185414,1.86848,1.150354,0.010535,3
161.328125,0.35208,0.72848,1.436068,0.014989,3
361.328125,0.074303,1.02848,1.721783,0.019444,0
261.328125,0.240969,1.32848,0.048313,0.023899,0
461.328125,0.407636,1.62848,0.334027,0.028353,0
136.328125,0.129858,1.92848,0.619742,0.032808,1
336.328125,0.296525,0.78848,0.905456,0.037262,1
236.328125,0.463192,1.08848,1.19117,0.041717,1
436.328125,0.037266,1.38848,1.476885,0.046171,1
186.328125,0.203932,1.68848,1.762599,0.002031,2
386.328125,0.370599,1.98848,0.08913,0.006485,2
286.328125,0.092821,0.50288,0.374844,0.01094,2
486.328125,0.259488,0.80288,0.660558,0.015394,3
123.828125,0.426155,1.10288,0.946272,0.019849,3
323.828125,0.148377,1.40288,1.231987,0.024304,3
223.828125,0.315043,1.70288,1.517701,0.028758,0
423.828125,0.48171,0.56288,1.803415,0.033213,0
173.828125,0.006401,0.86288,0.129946,0.037667,0
373.828125,0.173068,1.16288,0.41566,0.042122,1
273.828125,0.339735,1.46288,0.701374,0.046576,1
473.828125,0.061957,1.76288,0.987089,0.002436,1
148.828125,0.228624,0.62288,1.272803,0.00689,1
348.828125,0.39529,0.92288,1.558517,0.011345,2
248.828125,0.117513,1.22288,1.844232,0.015799,2
448.828125,0.284179,1.52288,0.170762,0.020254,2
198.828125,0.450846,1.82288,0.456476,0.024708,3
398.828125,0.02492,0.68288,0.742191,0.029163,3
298.828125,0.191587,0.98288,1.027905,0.033618,3
498.828125,0.358253,1.28288,1.313619,0.038072,0
101.171875,0.080476,1.58288,1.599334,0.042527,0
301.171875,0.247142,1.88288,1.885048,0.046981,0
201.171875,0.413809,0.74288,0.211579,0.002841,1
401.171875,0.136031,1.04288,0.497293,0.007295,1
151.171875,0.302698,1.34288,0.783007,0.01175,1
351.171875,0.469364,1.64288,1.068721,0.016204,2
251.171875,0.043439,1.94288,1.354436,0.020659,2
451.171875,0.210105,0.51488,1.64015,0.025113,2
126.171875,0.376772,0.81488,1.925864,0.029568,2
326.171875,0.098994,1.11488,0.252395,0.034023,3
226.171875,0.265661,1.41488,0.538109,0.038477,3
426.171875,0.432327,1.71488,0.823823,0.042932,3
176.171875,0.15455,0.57488,1.109538,0.047386,0
376.171875,0.321216,0.87488,1.395252,0.003246,0
276.171875,0.487883,1.17488,1.680966,0.0077,0
476.171875,0.012574,1.47488,1.966681,0.012155,1
113.671875,0.179241,1.77488,0.013328,0.016609,1
313.671875,0.345908,0.63488,0.299042,0.021064,1
213.671875,0.06813,0.93488,0.584756,0.025518,2
413.671875,0.234797,1.23488,0.870471,0.029973,2
163.671875,0.401463,1.53488,1.156185,0.034427,2
363.671875,0.123685,1.83488,1.441899,0.038882,2
263.671875,0.290352,0.69488,1.727613,0.043337,3
463.671875,0.457019,0.99488,0.054144,0.047791,3
138.671875,0.031093,1.29488,0.339858,0.003651,3
338.671875,0.197759,1.59488,0.625573,0.008105,0
238.671875,0.364426,1.89488,0.911287,0.01256,0
438.671875,0.086648,0.75488,1.197001,0.017014,0
188.671875,0.253315,1.05488,1.482716,0.021469,1
388.671875,0.419982,1.35488,1.76843,0.025923,1
288.671875,0.142204,1.65488,0.09496,0.030378,1
488.671875,0.308871,1.95488,0.380675,0.034832,2
107.421875,0.475537,0.52688,0.666389,0.039287,2
307.421875,0.049611,0.82688,0.952103,0.043742,2
207.421875,0.216278,1.12688,1.237818,0.048196,2
407.421875,0.382945,1.42688,1.523532,0.004056,3
157.421875,0.105167,1.72688,1.809246,0.00851,3
357.421875,0.271834,0.58688,0.135777,0.012965,3
257.421875,0.4385,0.88688,0.421491,0.017419,0
457.421875,0.160722,1.18688,0.707205,0.021874,0
132.421875,0.327389,1.48688,0.99292,0.026328,0
332.421875,0.494056,1.78688,1.278634,0.030783,1
232.421875,0.002286,0.64688,1.564348,0.035237,1
432.421875,0.168953,0.94688,1.850062,0.039692,1
182.421875,0.33562,1.24688,0.176593,0.044147,2
382.421875,0.057842,1.54688,0.462307,0.048601,2
282.421875,0.224508,1.84688,0.748022,0.004461,2
482.421875,0.391175,0.70688,1.033736,0.008915,3
119.921875,0.113397,1.00688,1.31945,0.01337,3
319.921875,0.280064,1.30688,1.605165,0.017824,3
219.921875,0.446731,1.60688,1.890879,0.022279,3
419.921875,0.020805,1.90688,0.217409,0.026733,0
169.921875,0.187471,0.76688,0.503124,0.031188,0
369.921875,0.354138,1.06688,0.788838,0.035642,0
269.921875,0.07636,1.36688,1.074552,0.040097,1
469.921875,0.243027,1.66688,1.360267,0.044551,1
144.921875,0.409694,1.96688,1.645981,0.049006,1
344.921875,0.131916,0.53888,1.931695,0.004866,2
244.921875,0.298583,0.83888,0.258226,0.00932,2
444.921875,0.465249,1.13888,0.54394,0.013775,2
194.921875,0.039323,1.43888,0.829654,0.018229,3
394.921875,0.20599,1.73888,1.115369,0.022684,3
294.921875,0.372657,0.59888,1.401083,0.027138,3
494.921875,0.094879,0.89888,1.686797,0.031593,3
104.296875,0.261545,1.19888,1.972511,0.036047,0
304.296875,0.428212,1.49888,0.019159,0.040502,0
204.296875,0.150434,1.79888,0.304873,0.044956,0
404.296875,0.317101,0.65888,0.590587,0.049411,1
154.296875,0.483768,0.95888,0.876302,0.00527,1
354.296875,0.008459,1.25888,1.162016,0.009725,1
254.296875,0.175126,1.55888,1.44773,0.01418,2
454.296875,0.341792,1.85888,1.733444,0.018634,2
129.296875,0.064015,0.71888,0.059975,0.023089,2
329.296875,0.230681,1.01888,0.345689,0.027543,3
229.296875,0.397348,1.31888,0.631404,0.031998,3
429.296875,0.11957,1.61888,0.917118,0.036452,3
179.296875,0.286237,1.91888,1.202832,0.040907,3
379.296875,0.452904,0.77888,1.488546,0.045361,0
279.296875,0.026978,1.07888,1.774261,0.049816,0
479.296875,0.193644,1.37888,0.100791,0.001258,0
116.796875,0.360311,1.67888,0.386506,0.005712,0
316.796875,0.082533,1.97888,0.67222,0.010167,1
216.796875,0.2492,0.55088,0.957934,0.014621,1
416.796875,0.415866,0.85088,1.243648,0.019076,1
166.796875,0.138089,1.15088,1.529363,0.02353,2
366.796875,0.304755,1.45088,1.815077,0.027985,2
266.796875,0.471422,1.75088,0.141608,0.03244,2
466.796875,0.045496,0.61088,0.427322,0.036894,3
141.796875,0.212163,0.91088,0.713036,0.041349,3
341.796875,0.378829,1.21088,0.998751,0.045803,3
241.796875,0.101052,1.51088,1.284465,0.001663,0
441.796875,0.267718,1.81088,1.570179,0.006117,0
191.796875,0.434385,0.67088,1.855893,0.010572,0
391.796875,0.156607,0.97088,0.182424,0.015026,0
291.796875,0.323274,1.27088,0.468138,0.019481,1
491.796875,0.489941,1.57088,0.753853,0.023935,1
110.546875,0.014632,1.87088,1.039567,0.02839,1
310.546875,0.181299,0.73088,1.325281,0.032844,2
210.546875,0.347965,1.03088,1.610995,0.037299,2
410.546875,0.070187,1.33088,1.89671,0.041754,2
160.546875,0.236854,1.63088,0.22324,0.046208,3
360.546875,0.403521,1.93088,0.508955,0.002068,3
260.546875,0.125743,0.79088,0.794669,0.006522,3
460.546875,0.29241,1.09088,1.080383,0.010977,0
135.546875,0.459076,1.39088,1.366097,0.015431,0
335.546875,0.03315,1.69088,1.651812,0.019886,0
235.546875,0.199817,1.99088,1.937526,0.02434,0
435.546875,0.366484,0.50528,0.264057,0.028795,1
185.546875,0.088706,0.80528,0.549771,0.033249,1
385.546875,0.255373,1.10528,0.835485,0.037704,1
285.546875,0.422039,1.40528,1.1212,0.042159,2
485.546875,0.144262,1.70528,1.406914,0.046613,2
123.046875,0.310928,0.56528,1.692628,0.002473,2
323.046875,0.477595,0.86528,1.978342,0.006927,3
223.046875,0.051669,1.16528,0.02499,0.011382,3
423.046875,0.218336,1.46528,0.310704,0.015836,3
173.046875,0.385002,1.76528,0.596418,0.020291,0
373.046875,0.107225,0.62528,0.882132,0.024745,0
273.046875,0.273891,0.92528,1.167847,0.0292,0
473.046875,0.440558,1.22528,1.453561,0.033654,1
148.046875,0.16278,1.52528,1.739275,0.038109,1
348.046875,0.329447,1.82528,0.065806,0.042563,1
248.046875,0.496113,0.68528,0.35152,0.047018,1
448.046875,0.004344,0.98528,0.637234,0.002878,2
198.046875,0.171011,1.28528,0.922949,0.007332,2
398.046875,0.337677,1.58528,1.208663,0.011787,2
298.046875,0.059899,1.88528,1.494377,0.016241,3
498.046875,0.226566,0.74528,1.780092,0.020696,3
102.734375,0.393233,1.04528,0.106622,0.02515,3
302.734375,0.115455,1.34528,0.392337,0.029605,0
202.734375,0.282122,1.64528,0.678051,0.034059,0
402.734375,0.448788,1.94528,0.963765,0.038514,0
152.734375,0.022862,0.51728,1.249479,0.042968,1
352.734375,0.189529,0.81728,1.535194,0.047423,1
252.734375,0.356196,1.11728,1.820908,0.003282,1
452.734375,0.078418,1.41728,0.147439,0.007737,1
127.734375,0.245085,1.71728,0.433153,0.012192,2
327.734375,0.411751,0.57728,0.718867,0.016646,2
227.734375,0.133973,0.87728,1.004581,0.021101,2
427.734375,0.30064,1.17728,1.290296,0.025555,3
177.734375,0.467307,1.47728,1.57601,0.03001,3
377.734375,0.041381,1.77728,1.861724,0.034464,3
277.734375,0.208048,0.63728,0.188255,0.038919,0
477.734375,0.374714,0.93728,0.473969,0.043373,0
115.234375,0.096936,1.23728,0.759683,0.047828,0
315.234375,0.263603,1.53728,1.045398,0.003687,1
215.234375,0.43027,1.83728,1.331112,0.008142,1
415.234375,0.152492,0.69728,1.616826,0.012597,1
165.234375,0.319159,0.99728,1.902541,0.017051,1
365.234375,0.485825,1.29728,0.229071,0.021506,2
265.234375,0.010517,1.59728,0.514786,0.02596,2
465.234375,0.177183,1.89728,0.8005,0.030415,2
140.234375,0.34385,0.75728,1.086214,0.034869,3
340.234375,0.066072,1.05728,1.371928,0.039324,3
240.234375,0.232739,1.35728,1.657643,0.043778,3
440.234375,0.399406,1.65728,1.943357,0.048233,0
190.234375,0.121628,1.95728,0.269888,0.004092,0
390.234375,0.288294,0.52928,0.555602,0.008547,0
290.234375,0.454961,0.82928,0.841316,0.013002,1
490.234375,0.029035,1.12928,1.12703,0.017456,1
108.984375,0.195702,1.42928,1.412745,0.021911,1
308.984375,0.362369,1.72928,1.698459,0.026365,1
208.984375,0.084591,0.58928,1.984173,0.03082,2
408.984375,0.251257,0.88928,0.03082,0.035274,2
158.984375,0.417924,1.18928,0.316535,0.039729,2
358.984375,0.140146,1.48928,0.602249,0.044183,3
258.984375,0.306813,1.78928,0.887963,0.048638,3
458.984375,0.47348,0.64928,1.173678,0.004497,3
133.984375,0.047554,0.94928,1.459392,0.008952,0
333.984375,0.21422,1.24928,1.745106,0.013406,0
233.984375,0.380887,1.54928,0.071637,0.017861,0
433.984375,0.103109,1.84928,0.357351,0.022316,1
183.984375,0.269776,0.70928,0.643065,0.02677,1
383.984375,0.436443,1.00928,0.92878,0.031225,1
283.984375,0.158665,1.30928,1.214494,0.035679,2
483.984375,0.325332,1.60928,1.500208,0.040134,2
121.484375,0.491998,1.90928,1.785923,0.044588,2
321.484375,0.01669,0.76928,0.112453,0.049043,2
221.484375,0.183356,1.06928,0.398167,0.004902,3
421.484375,0.350023,1.36928,0.683882,0.009357,3
171.484375,0.072245,1.66928,0.969596,0.013811,3
371.484375,0.238912,1.96928,1.25531,0.018266,0
271.484375,0.405578,0.54128,1.541025,0.022721,0
471.484375,0.127801,0.84128,1.826739,0.027175,0
146.484375,0.294467,1.14128,0.153269,0.03163,1
346.484375,0.461134,1.44128,0.438984,0.036084,1
246.484375,0.035208,1.74128,0.724698,0.040539,1
446.484375,0.201875,0.60128,1.010412,0.044993,2
196.484375,0.368541,0.90128,1.296127,0.049448,2
396.484375,0.090764,1.20128,1.581841,0.005307,2
296.484375,0.25743,1.50128,1.867555,0.009762,2
496.484375,0.424097,1.80128,0.194086,0.014216,3
105.859375,0.146319,0.66128,0.4798,0.018671,3
305.859375,0.312986,0.96128,0.765514,0.023125,3
205.859375,0.479652,1.26128,1.051229,0.02758,0
405.859375,0.053727,1.56128,1.336943,0.032035,0
155.859375,0.220393,1.86128,1.622657,0.036489,0
355.859375,0.38706,0.72128,1.908372,0.040944,1
255.859375,0.109282,1.02128,0.234902,0.045398,1
455.859375,0.275949,1.32128,0.520616,0.049853,1
130.859375,0.442615,1.62128,0.806331,0.001295,2
330.859375,0.164838,1.92128,1.092045,0.005749,2
230.859375,0.331504,0.78128,1.377759,0.010204,2
430.859375,0.498171,1.08128,1.663474,0.014658,2
180.859375,0.000914,1.38128,1.949188,0.019113,3
380.859375,0.167581,1.68128,0.275718,0.023567,3
280.859375,0.334248,1.98128,0.561433,0.028022,3
480.859375,0.05647,0.55328,0.847147,0.032476,0
118.359375,0.223137,0.85328,1.132861,0.036931,0
318.359375,0.389803,1.15328,1.418576,0.041385,0
218.359375,0.112026,1.45328,1.70429,0.04584,1
418.359375,0.278692,1.75328,1.990004,0.001699,1
168.359375,0.445359,0.61328,0.036651,0.006154,1
368.359375,0.019433,0.91328,0.322366,0.010609,2
268.359375,0.1861,1.21328,0.60808,0.015063,2
468.359375,0.352766,1.51328,0.893794,0.019518,2
143.359375,0.074989,1.81328,1.179509,0.023972,3
343.359375,0.241655,0.67328,1.465223,0.028427,3
243.359375,0.408322,0.97328,1.750937,0.032881,3
443.359375,0.130544,1.27328,0.077468,0.037336,3
193.359375,0.297211,1.57328,0.363182,0.04179,0
393.359375,0.463877,1.87328,0.648896,0.046245,0
293.359375,0.037952,0.73328,0.934611,0.002104,0
493.359375,0.204618,1.03328,1.220325,0.006559,1
112.109375,0.371285,1.33328,1.506039,0.011014,1
312.109375,0.093507,1.63328,1.791753,0.015468,1
212.109375,0.260174,1.93328,0.118284,0.019923,2
412.109375,0.42684,0.79328,0.403998,0.024377,2
162.109375,0.149063,1.09328,0.689713,0.028832,2
362.109375,0.315729,1.39328,0.975427,0.033286,3
262.109375,0.482396,1.69328,1.261141,0.037741,3
462.109375,0.007087,1.99328,1.546855,0.042195,3
137.109375,0.173754,0.50768,1.83257,0.04665,3
